學校代碼,學校名稱,鄉鎮,Email,角色,備註
091502,淵明國中,林內鄉,,學校,
091503,東南國中,西螺鎮,,學校,
094301,斗南高中(高中),斗南鎮,,學校,
094301,斗南高中(國中),斗南鎮,,學校,
094307,麥寮高中(高中),麥寮鄉,,學校,
094607,麥寮高中(國中),麥寮鄉,,學校,
094326,蔦松藝術高中(高中),水林鄉,,學校,
094326,蔦松藝術高中(國中),水林鄉,,學校,
094502,東明國中,斗南鎮,,學校,
094503,大埤國中,大埤鄉,,學校,
094504,飛沙國中,四湖鄉,,學校,
094505,四湖國中,四湖鄉,,學校,
094506,水林國中,水林鄉,,學校,
094508,二崙國中,二崙鄉,,學校,
094509,褒忠國中,褒忠鄉,,學校,
094510,莿桐國中,莿桐鄉,,學校,
094511,崙背國中,崙背鄉,,學校,
094512,古坑國中小(國中),古坑鄉,,學校,
094612,古坑國中小(國小),古坑鄉,,學校,
094513,東勢國中,東勢鄉,,學校,
094514,元長國中,元長鄉,,學校,
094515,斗六國中,斗六市,,學校,
094516,雲林國中,斗六市,,學校,
094517,虎尾國中,虎尾鎮,,學校,
094518,崇德國中,虎尾鎮,,學校,
094519,西螺國中,西螺鎮,,學校,
094520,北港國中,北港鎮,,學校,
094521,建國國中,北港鎮,,學校,
094522,宜梧國中,口湖鄉,,學校,
094523,口湖國中,口湖鄉,,學校,
094524,台西國中,臺西鄉,,學校,
094525,土庫國中,土庫鎮,,學校,
094527,東和國中,古坑鄉,,學校,
094528,馬光國中,土庫鎮,,學校,
094529,石榴國中,斗六市,,學校,
094530,林內國中,林內鄉,,學校,
094543,東仁國中,虎尾鎮,,學校,
094544,樟湖國中小(國中),古坑鄉,,學校,
094618,樟湖國中小(國小),古坑鄉,,學校,
094601,鎮西國小,斗六市,,學校,
094602,鎮東國小,斗六市,,學校,
094603,溝壩國小,斗六市,,學校,
094604,梅林國小,斗六市,,學校,
094605,石榴國小,斗六市,,學校,
094606,溪洲國小,斗六市,,學校,
094607,林頭國小,斗六市,,學校,
094608,保長國小,斗六市,,學校,
